0;0;15;0;1;0;1;1;0;4;3;0;3;1;0;0;1;0;1;0;1;1;1;4;3;3;1;2;4;0;8;0;1
0;0;15;0;1;0;3;2;1;4;1;0;2;2;0;1;1;1;0;1;1;1;0;4;3;5;1;1;2;26;7;6;2
0;1;17;0;1;0;4;3;4;4;3;0;1;2;0;0;1;0;1;1;1;1;1;5;2;3;1;1;2;4;10;10;3
0;0;16;0;1;0;4;2;2;1;1;1;1;2;0;0;0;1;0;1;1;1;1;4;2;3;1;1;3;0;14;15;4
0;1;16;1;1;0;4;4;3;3;3;0;1;1;0;0;0;1;1;1;1;1;0;3;5;5;2;5;4;8;18;18;5
1;0;19;1;1;0;2;3;1;4;3;0;1;3;1;0;0;0;1;0;1;1;0;5;4;2;1;2;5;0;7;5;1
1;1;18;1;1;0;4;2;4;4;1;1;2;1;1;0;0;1;0;1;1;0;0;5;4;3;4;3;3;14;6;5;2
1;1;18;1;0;0;3;2;1;4;3;0;3;1;0;0;0;0;0;0;1;1;0;4;4;1;3;4;5;0;11;12;3
1;0;18;0;0;0;1;1;0;1;3;1;2;3;0;0;0;0;0;1;1;1;0;5;3;2;1;1;4;0;18;16;4
1;0;18;1;0;0;4;4;4;4;2;0;2;3;0;0;0;0;0;1;1;1;0;5;4;4;1;1;1;0;19;18;5
