1;1;18;1;1;0;3;2;1;4;3;0;1;1;1;0;0;0;0;1;0;1;0;2;3;1;2;2;5;0;4;0;1
1;0;19;0;0;1;1;1;0;4;3;0;1;1;0;0;1;0;0;1;0;0;0;1;4;4;1;1;5;0;6;8;2
1;1;17;0;1;0;3;3;1;0;3;0;2;4;1;0;1;1;1;1;1;0;0;5;4;5;3;4;5;0;10;11;3
1;1;15;0;0;1;2;2;4;4;2;0;3;4;0;0;1;0;1;1;1;0;0;5;4;5;2;3;5;8;13;14;4
1;0;17;0;1;0;4;2;3;4;3;1;2;4;0;0;0;0;0;1;1;1;1;4;2;3;3;1;5;0;18;18;5
0;1;16;0;1;0;3;3;4;1;3;1;1;2;1;0;1;0;0;1;1;1;1;4;5;5;4;4;5;0;10;10;1
0;1;17;0;1;0;3;2;1;1;3;0;1;1;3;0;1;1;1;1;1;1;0;5;5;5;2;4;5;2;8;8;2
0;0;15;0;1;1;3;3;1;1;1;0;1;2;0;0;0;0;0;0;1;0;1;1;3;2;2;3;1;24;9;8;3
0;0;16;0;1;1;3;4;1;4;3;1;1;1;0;0;0;0;0;1;1;1;0;3;2;1;1;4;5;12;15;13;4
0;1;16;0;1;0;1;0;4;4;2;0;2;2;0;0;1;0;1;1;1;1;1;4;3;2;1;1;3;0;16;17;5
